Samsung SDS	South Korea
Molina Healthcare	United States
Saudi Arabian Mining	Saudi Arabia
Interpublic Group	United States
Skanska	Sweden
Amcor	Australia
Guosen Securities	China
SGS	Switzerland
Tokyo Century	Japan
Evergy	United States
PVH	United States
Host Hotels & Resorts	United States
Saputo	Canada
Whirlpool	United States
TransDigm Group	United States
Kobe Steel	Japan
Voestalpine	Austria
Aramark	United States
China Galaxy Securities	China
China International Marine	China
CJ Corporation	South Korea
Jeronimo Martins	Portugal
Terna	Italy
PulteGroup	United States
China Development Financial	Taiwan
China Resources Power	Hong Kong
Bank Pekao	Poland
Covivio	France
Oriental Land	Japan
Xilinx	United States
Schroders	United States
Wynn Resorts	United States
Bank of Tianjin	China
GD Power Development	China
Equinix	United States
UBI Banca	Italy
Cosmo Energy Holdings	Japan
UCB	Belgium
3i Group	United Kingdom
Yara International	Norway
GAIL India	India
Givaudan	Switzerland
Hyundai Steel	South Korea
Inter Rao	Russia
Ferrari	Italy
Industrial Alliance Insurance	Canada
Vienna Insurance Group	Austria
Petronas Chemicals	Malaysia
Terumo	Japan
Newmont Mining	United States
Masco	United States
Ricoh	Japan
Top Frontier Investment Holdings	Philippines
Punjab National Bank	India
Edwards Lifesciences	United States
Pegatron	Taiwan
Indorama Ventures	Thailand
Bank Of Guiyang	China
